,Year,Team,Player,Season,School,Conf,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,SOS
0,2000,NJN,Kenyon Martin,Career,Cincinnati,,116.0,97.0,25.0,4.4,7.5,0.586,4.4,7.5,0.59,0.0,0.1,0.222,2.2,3.7,0.581,,,7.5,1.2,1.1,2.5,1.6,2.9,11.0,,6.65
16,2000,CHH,Jamaal Magloire,Career,Kentucky,,145,72,19.6,2.7,5.4,0.503,2.7,5.4,0.503,0.0,0.0,,1.9,3.0,0.636,,,5.4,0.4,0.5,1.8,1.7,2.7,7.3,,10.42
33,2000,MIL,Michael Redd,Career,Ohio State,,96,96,34.6,7.3,16.3,0.44799999999999995,6.0,12.2,0.491,1.3,4.1,0.319,3.7,5.7,0.649,,,6.2,2.5,1.6,0.1,2.7,1.9,19.6,,8.26
49,2001,BOS,Joe Johnson,Career,Arkansas,,53,41,30.3,5.7,12.2,0.466,4.5,9.3,0.485,1.2,2.9,0.406,2.4,3.2,0.753,,,6.1,2.4,1.7,0.5,2.5,1.7,15.0,,6.96
56,2001,POR,Zach Randolph,Career,Michigan State,,33,8,19.8,4.2,7.1,0.5870000000000001,4.2,7.1,0.59,0.0,0.0,0.0,2.4,3.8,0.635,3.1,3.6,6.7,1.0,0.7,0.7,1.6,1.8,10.8,,9.54
61,2001,SAC,Gerald Wallace,Career,Alabama,,36,2,22.9,3.5,8.0,0.43799999999999994,3.2,6.3,0.511,0.3,1.8,0.175,2.4,4.3,0.568,2.3,3.7,6.0,1.5,1.2,1.0,2.4,2.4,9.8,,6.27
65,2001,GSW,Gilbert Arenas,Career,Arizona,,70,64,30.5,5.6,12.1,0.466,4.1,7.9,0.523,1.5,4.2,0.361,3.0,4.0,0.738,,,3.8,2.2,1.9,0.2,2.7,2.4,15.8,,11.13
94,2002,MIA,Caron Butler,Career,UConn,,63,62,34.5,6.4,13.8,0.465,5.7,11.9,0.48200000000000004,0.7,1.9,0.364,4.5,5.9,0.768,3.3,4.3,7.6,3.0,2.1,0.3,2.7,2.4,18.0,,6.43
114,2002,CLE,Carlos Boozer,Career,Duke,,101,93,25.9,5.5,8.7,0.631,5.5,8.7,0.632,0.0,0.0,0.0,3.9,5.3,0.741,,,7.2,1.1,1.0,0.7,1.6,2.9,14.9,,10.0
129,2003,DEN,Carmelo Anthony,Career,Syracuse,,35,35,36.4,7.9,17.5,0.45299999999999996,6.3,12.7,0.496,1.6,4.7,0.337,4.8,6.8,0.706,2.9,7.1,10.0,2.2,1.6,0.9,2.2,2.2,22.2,,9.02
130,2003,TOR,Chris Bosh,Career,Georgia Tech,,31,31,31.0,5.4,9.7,0.56,4.7,8.2,0.575,0.7,1.5,0.478,4.1,5.6,0.73,3.1,5.9,9.0,1.2,1.0,2.2,2.3,2.4,15.6,,7.94
131,2003,MIA,Dwyane Wade,Career,Marquette,,65,65,30.7,7.3,14.8,0.494,6.8,13.3,0.512,0.5,1.5,0.33299999999999996,4.6,6.2,0.745,2.2,4.3,6.5,3.9,2.3,1.2,3.1,2.4,19.7,,6.03
132,2003,LAC,Chris Kaman,Career,Central Michigan,,83,45,26.3,5.4,8.8,0.608,5.4,8.8,0.608,0.0,0.0,,4.3,6.0,0.713,2.7,5.8,8.5,0.8,0.5,2.2,3.1,2.8,15.1,,1.05
142,2003,NOH,David West,Career,Xavier,,126,126,33.4,5.8,10.8,0.531,5.6,10.4,0.54,0.1,0.4,0.327,5.3,6.9,0.757,,,10.4,2.1,1.4,1.8,2.5,2.8,16.9,,4.18
145,2003,DAL,Josh Howard,Career,Wake Forest,,127,119,27.8,5.1,10.5,0.483,4.2,8.1,0.522,0.9,2.4,0.353,2.9,4.0,0.708,,,6.6,1.9,1.7,1.1,2.2,2.9,13.9,,9.17
155,2003,UTA,Mo Williams,Career,Alabama,,64,64,33.7,4.4,10.9,0.405,3.0,6.1,0.49200000000000005,1.4,4.8,0.294,2.8,3.4,0.847,1.0,2.9,3.9,4.2,1.5,0.1,3.0,2.4,13.1,,8.53
157,2003,NJN,Kyle Korver,Career,Creighton,,128,95,27.7,4.4,9.3,0.47200000000000003,1.5,2.9,0.515,2.9,6.4,0.45299999999999996,2.4,2.7,0.8909999999999999,,,5.2,2.3,1.3,0.5,1.8,2.3,14.1,,1.76
163,2004,WAS,Devin Harris,Career,Wisconsin,,96,96,35.0,4.6,10.2,0.447,2.6,5.0,0.522,1.9,5.2,0.375,3.8,4.8,0.778,0.7,3.4,4.1,3.1,1.7,0.4,1.8,2.1,14.8,,7.74
165,2004,PHO,Luol Deng,Career,Duke,,37,32,31.1,5.7,11.9,0.47600000000000003,4.6,8.9,0.515,1.1,3.0,0.36,2.6,3.7,0.71,2.2,4.7,6.9,1.8,1.3,1.1,2.2,2.2,15.1,,10.86
167,2004,PHI,Andre Iguodala,Career,Arizona,,62,34,25.4,3.3,7.8,0.424,2.8,5.9,0.473,0.5,1.9,0.27399999999999997,2.5,3.3,0.738,2.2,4.4,6.6,3.4,1.5,0.5,2.1,2.2,9.6,,7.79
168,2004,CLE,Luke Jackson,Career,Oregon,,126,102,29.1,5.1,11.1,0.461,3.7,7.7,0.488,1.4,3.4,0.402,4.0,4.7,0.8490000000000001,1.7,4.2,5.9,3.4,1.3,0.3,2.3,1.8,15.6,,6.96
199,2005,UTA,Deron Williams,Career,Illinois,,101,98,31.7,4.0,9.4,0.42200000000000004,2.3,5.1,0.46399999999999997,1.6,4.3,0.374,1.5,2.1,0.685,0.4,2.9,3.3,5.9,1.1,0.2,2.4,2.2,11.0,,7.44
200,2005,NOH,Chris Paul,Career,Wake Forest,,63,62,33.5,4.4,9.3,0.47200000000000003,3.0,6.4,0.473,1.4,2.9,0.47,4.9,5.8,0.838,0.7,3.2,3.9,6.3,2.5,0.2,2.7,2.6,15.0,,10.65
209,2005,IND,Danny Granger,Career,Overall,,95,82,28.4,5.6,11.2,0.496,4.7,9.0,0.529,0.8,2.2,0.366,4.7,6.3,0.753,2.5,5.7,8.2,1.6,1.6,1.9,2.3,3.2,16.7,,1.8
219,2005,NYK,David Lee,Career,Florida,,127,95,25.0,4.3,7.4,0.581,4.3,7.3,0.584,0.0,0.0,0.0,2.8,4.0,0.6809999999999999,2.2,4.6,6.8,2.0,0.9,0.9,2.1,2.2,11.3,,8.11
234,2006,CHI,LaMarcus Aldridge,Career,Texas,,53,53,30.2,5.2,8.9,0.586,5.2,8.9,0.586,0.0,0.0,,3.0,4.7,0.649,3.4,4.8,8.2,0.6,1.3,1.8,1.6,2.7,13.5,,7.28
238,2006,MIN,Brandon Roy,Career,Washington,,103,71,27.5,5.2,10.1,0.512,4.7,8.6,0.541,0.5,1.5,0.344,3.5,4.5,0.765,1.8,3.2,5.0,3.0,1.0,0.5,2.1,2.1,14.3,,6.83
250,2006,PHO,Rajon Rondo,Career,Kentucky,,68,62,28.1,3.7,7.4,0.493,3.3,6.0,0.544,0.4,1.5,0.28300000000000003,1.9,3.3,0.5770000000000001,0.8,3.7,4.5,4.2,2.3,0.2,2.2,2.0,9.6,,8.49
253,2006,MEM,Kyle Lowry,Career,Villanova,,57,34,26.7,3.2,7.1,0.449,2.9,6.4,0.46299999999999997,0.2,0.7,0.325,2.9,4.0,0.737,1.4,2.4,3.8,3.0,1.9,0.2,1.9,2.6,9.5,,8.83
264,2006,MIN,Bobby Jones,Career,Washington,,125,105,24.1,3.4,6.8,0.501,2.9,5.4,0.536,0.5,1.4,0.36700000000000005,2.5,3.5,0.7070000000000001,2.0,2.9,4.9,1.2,1.1,0.5,1.3,3.5,9.8,,6.83
271,2006,UTA,Paul Millsap,Career,Louisiana Tech,,92,91,35.2,7.2,12.4,0.5770000000000001,7.1,12.2,0.58,0.1,0.2,0.375,4.2,6.8,0.62,5.5,7.3,12.7,0.9,1.3,2.0,2.4,3.1,18.6,,2.11
279,2007,SEA,Kevin Durant,Career,Texas,,35,35,35.9,8.7,18.5,0.473,6.4,12.7,0.505,2.3,5.8,0.40399999999999997,6.0,7.3,0.816,3.0,8.1,11.1,1.3,1.9,1.9,2.8,2.0,25.8,,6.12
280,2007,ATL,Al Horford,Career,Florida,,109,100,25.7,3.9,6.6,0.586,3.9,6.6,0.589,0.0,0.0,0.0,2.5,4.1,0.619,2.3,5.6,7.9,1.7,0.9,1.7,1.6,2.5,10.3,,6.65
281,2007,MEM,Mike Conley,Career,Ohio State,,39,39,31.6,4.1,7.9,0.518,3.6,6.2,0.579,0.5,1.8,0.304,2.6,3.7,0.6940000000000001,0.7,2.7,3.4,6.1,2.2,0.3,2.2,1.5,11.3,,9.03
285,2007,CHI,Joakim Noah,Career,Florida,,108,78,21.1,3.8,6.2,0.616,3.8,6.2,0.617,0.0,0.0,0.5,2.9,4.2,0.684,2.0,4.4,6.4,1.7,0.9,1.7,1.8,2.0,10.5,,6.65
325,2008,CHI,Derrick Rose,Career,Memphis,,40,39,29.2,5.2,10.9,0.47700000000000004,4.3,8.3,0.521,0.9,2.6,0.337,3.7,5.1,0.7120000000000001,1.4,3.2,4.5,4.7,1.2,0.4,2.7,1.7,14.9,,5.76
328,2008,SEA,Russell Westbrook,Career,UCLA,,75,35,21.9,3.1,6.6,0.46399999999999997,2.6,5.3,0.491,0.5,1.3,0.354,1.7,2.4,0.685,0.9,1.5,2.4,2.5,1.0,0.1,1.6,1.7,8.3,,8.77
329,2008,MEM,Kevin Love,Career,UCLA,,39,38,29.6,5.8,10.4,0.5589999999999999,5.1,8.3,0.611,0.7,2.1,0.354,5.1,6.6,0.767,3.6,7.0,10.6,1.9,0.7,1.4,2.0,1.9,17.5,,7.71
333,2008,NJN,Brook Lopez,Career,Stanford,,53,43,28.0,6.1,12.7,0.48,6.1,12.3,0.491,0.1,0.4,0.14300000000000002,3.7,4.9,0.764,2.3,4.8,7.1,1.1,0.5,1.9,2.1,2.6,16.0,,8.01
340,2008,TOR,Roy Hibbert,Career,Georgetown,,136,121,23.3,4.2,7.0,0.603,4.2,7.0,0.602,0.0,0.0,1.0,2.4,3.5,0.68,2.3,3.7,5.9,1.3,0.4,1.9,1.5,2.5,10.9,,7.54
354,2008,LAC,DeAndre Jordan,Career,Texas A&M,,35,21,20.1,3.2,5.2,0.617,3.2,5.2,0.617,0.0,0.0,,1.5,3.4,0.43700000000000006,1.9,4.1,6.0,0.4,0.2,1.3,1.6,1.9,7.9,,7.46
360,2008,SAC,Patrick Ewing,Career,Georgetown,,143,101.0,30.8,6.0,9.7,0.62,,,,,,,3.3,5.2,0.635,,,9.2,0.9,1.2,3.4,2.3,3.0,15.3,,5.82
374,2009,LAC,Blake Griffin,Career,Oklahoma,,68,63,30.9,7.1,11.5,0.618,7.1,11.4,0.622,0.0,0.1,0.3,4.5,7.7,0.589,3.6,8.3,11.8,2.1,1.1,1.0,2.8,2.5,18.8,,7.37
376,2009,OKC,James Harden,Career,Arizona State,,69,68,35.0,6.0,11.9,0.506,4.6,8.0,0.57,1.5,3.9,0.376,5.4,7.2,0.755,1.3,4.1,5.4,3.7,1.9,0.4,3.0,2.5,19.0,,7.05
379,2009,GSW,Stephen Curry,Career,Davidson,,104,103,32.6,8.4,17.9,0.467,4.4,8.3,0.53,4.0,9.7,0.41200000000000003,4.6,5.3,0.8759999999999999,0.8,3.8,4.5,3.7,2.1,0.3,3.0,2.4,25.3,,-1.31
381,2009,TOR,DeMar DeRozan,Career,USC,,35,35,33.4,5.5,10.5,0.523,5.3,9.5,0.562,0.2,1.0,0.16699999999999998,2.7,4.2,0.6459999999999999,2.4,3.3,5.7,1.5,0.9,0.4,2.1,2.1,13.9,,9.15
388,2009,PHI,Jrue Holiday,Career,UCLA,,35,35,27.1,3.2,7.1,0.45,2.4,4.6,0.528,0.8,2.5,0.307,1.3,1.8,0.726,1.3,2.5,3.8,3.7,1.6,0.5,2.1,2.1,8.5,,7.19
390,2009,ATL,Jeff Teague,Career,Wake Forest,,61,52,30.9,5.2,11.2,0.462,3.9,8.2,0.47700000000000004,1.3,3.0,0.42100000000000004,4.8,5.9,0.812,0.5,2.5,3.0,3.0,1.9,0.6,3.0,2.3,16.4,,8.09
422,2010,WAS,John Wall,Career,Kentucky,,37,37,34.8,5.5,11.8,0.461,4.5,8.8,0.509,1.0,3.1,0.325,4.7,6.3,0.754,0.8,3.5,4.3,6.5,1.8,0.5,4.0,1.9,16.6,,6.82
426,2010,SAC,DeMarcus Cousins,Career,Kentucky,,38,37,23.5,5.4,9.7,0.5579999999999999,5.4,9.6,0.565,0.0,0.2,0.16699999999999998,4.3,7.1,0.604,4.1,5.8,9.8,1.0,1.0,1.8,2.1,3.2,15.1,,6.82
430,2010,UTA,Gordon Hayward,Career,Butler,,69,69,33.1,4.3,9.2,0.47,2.6,4.6,0.569,1.7,4.6,0.369,4.1,4.9,0.8240000000000001,1.7,5.7,7.4,1.8,1.3,0.9,2.0,2.1,14.4,,3.57
431,2010,IND,Paul George,Career,Fresno State,,63,63,33.9,5.1,11.4,0.447,3.1,6.5,0.485,1.9,4.9,0.396,3.4,4.2,0.8029999999999999,1.9,4.8,6.7,2.4,2.0,0.9,2.7,2.8,15.5,,1.13
